match_id,start_time,lobby_type,r1_hero,r1_level,r1_xp,r1_gold,r1_lh,r1_kills,r1_deaths,r1_items,r2_hero,r2_level,r2_xp,r2_gold,r2_lh,r2_kills,r2_deaths,r2_items,r3_hero,r3_level,r3_xp,r3_gold,r3_lh,r3_kills,r3_deaths,r3_items,r4_hero,r4_level,r4_xp,r4_gold,r4_lh,r4_kills,r4_deaths,r4_items,r5_hero,r5_level,r5_xp,r5_gold,r5_lh,r5_kills,r5_deaths,r5_items,d1_hero,d1_level,d1_xp,d1_gold,d1_lh,d1_kills,d1_deaths,d1_items,d2_hero,d2_level,d2_xp,d2_gold,d2_lh,d2_kills,d2_deaths,d2_items,d3_hero,d3_level,d3_xp,d3_gold,d3_lh,d3_kills,d3_deaths,d3_items,d4_hero,d4_level,d4_xp,d4_gold,d4_lh,d4_kills,d4_deaths,d4_items,d5_hero,d5_level,d5_xp,d5_gold,d5_lh,d5_kills,d5_deaths,d5_items,first_blood_time,first_blood_team,first_blood_player1,first_blood_player2,radiant_bottle_time,radiant_courier_time,radiant_flying_courier_time,radiant_tpscroll_count,radiant_boots_count,radiant_ward_observer_count,radiant_ward_sentry_count,radiant_first_ward_time,dire_bottle_time,dire_courier_time,dire_flying_courier_time,dire_tpscroll_count,dire_boots_count,dire_ward_observer_count,dire_ward_sentry_count,dire_first_ward_time,duration,radiant_win,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire
108013,1449824641,7,6,5,1971,1339,13,1,0,9,85,3,873,1256,8,2,0,11,57,3,791,1026,1,1,0,9,48,5,2320,1802,26,0,0,13,20,3,811,1101,2,2,0,10,68,3,997,581,2,0,1,5,7,4,1558,945,11,0,1,8,69,3,642,996,14,0,2,11,25,5,2191,1474,18,0,0,4,47,3,800,988,12,0,2,10,2.0,0.0,2.0,7.0,,-82.0,194.0,3,5,3,0,14.0,42.0,-66.0,,5,1,2,0,18.0,1838,1,1975,0,63,0
37416,1443069467,7,64,3,902,904,2,1,2,9,30,3,973,525,1,0,0,8,99,4,1364,1200,10,1,0,7,12,2,856,1199,0,2,0,8,72,4,1111,838,4,0,1,10,17,4,2006,1414,18,0,0,8,29,4,1450,672,4,0,1,10,5,3,1145,630,0,0,1,7,7,2,696,866,4,1,1,8,48,3,1142,1325,7,2,1,9,,,,,,-83.0,246.0,2,3,2,0,20.0,252.0,-79.0,,3,2,1,0,9.0,2594,0,4,1846,51,63
108503,1449844317,7,112,2,494,500,0,0,0,8,55,4,1399,1226,15,0,0,8,42,3,1093,1684,28,0,1,10,50,3,784,500,0,0,0,8,39,4,1666,1003,12,0,1,9,97,4,1671,893,9,0,0,13,41,3,1102,1710,29,0,0,4,21,5,1959,1733,19,1,0,7,31,3,813,530,0,0,0,7,101,2,643,869,1,1,0,14,-10.0,1.0,7.0,2.0,277.0,-84.0,194.0,4,2,3,0,22.0,78.0,-83.0,234.0,1,2,3,0,30.0,2795,1,1974,0,63,0
98136,1449409581,7,72,4,1746,1896,25,1,0,15,55,4,1027,1110,5,1,2,9,60,3,766,943,2,1,0,12,73,4,1386,2458,18,1,2,12,112,3,1201,1359,0,2,1,8,11,5,2056,1882,19,1,1,8,98,4,1543,1912,10,3,1,8,19,4,1444,880,9,0,1,8,62,2,377,927,0,1,1,10,50,3,1102,1106,1,0,2,12,1.0,0.0,0.0,7.0,68.0,-76.0,203.0,8,5,3,2,15.0,117.0,-88.0,193.0,7,6,3,1,-31.0,3642,1,1924,0,63,0
76530,1448330158,1,8,5,1823,1678,21,1,0,9,7,3,1106,807,2,1,1,11,11,5,2041,1777,17,0,1,10,86,2,404,682,1,0,0,11,60,3,1204,1280,8,1,1,11,39,3,1065,1122,11,1,1,10,68,2,570,571,0,0,0,11,62,2,487,557,1,0,0,6,19,4,1796,1770,16,1,0,7,55,4,1255,1109,16,0,1,9,135.0,0.0,2.0,7.0,140.0,-70.0,184.0,6,3,3,2,-71.0,86.0,-87.0,217.0,4,3,3,1,-36.0,3052,1,1972,1540,63,3
24352,1439540030,1,12,4,1781,1722,25,0,0,14,71,4,1112,1163,6,1,0,8,87,3,520,790,0,1,0,10,83,1,91,554,0,0,0,5,25,5,2045,1539,23,0,0,8,86,2,284,553,2,0,0,10,5,2,485,570,1,0,1,9,62,4,1460,704,5,0,1,4,93,4,1519,1358,21,0,0,5,17,5,2159,1115,13,0,0,6,91.0,0.0,1.0,,163.0,-84.0,182.0,0,4,2,1,12.0,122.0,-87.0,185.0,0,3,3,0,-32.0,1913,1,2047,1792,63,51
34301,1442489768,7,12,3,1010,1149,13,0,0,11,7,4,1434,745,6,0,0,7,85,3,766,532,1,0,0,6,75,2,521,920,0,1,0,8,17,5,2156,1469,20,0,0,3,71,3,836,779,7,0,0,5,72,5,1898,1280,19,0,0,4,83,3,681,500,0,0,1,4,37,4,1524,1060,11,0,0,11,29,3,863,871,10,0,0,3,,,,,35.0,-82.0,180.0,0,2,2,0,19.0,49.0,-86.0,269.0,5,2,2,0,-19.0,2257,1,1982,0,63,0
21405,1438366400,7,11,4,1541,1737,24,1,0,8,68,3,864,1180,3,2,0,8,7,3,800,1200,10,1,0,5,39,3,1133,939,5,0,0,8,25,5,1710,1496,16,1,0,5,15,3,843,991,12,0,3,8,50,2,481,592,2,0,1,12,46,5,2032,1489,20,0,0,5,85,2,686,635,3,0,0,8,100,3,1240,1244,17,0,1,9,-2.0,0.0,2.0,,132.0,-84.0,182.0,2,5,2,0,-33.0,125.0,-86.0,181.0,6,4,3,1,-36.0,2409,1,1956,4,63,3
42648,1443895745,7,71,3,1069,668,4,0,1,5,64,3,1038,600,0,0,0,8,4,3,1108,1538,25,0,0,5,22,5,1566,1161,16,0,0,6,57,2,274,558,0,0,0,7,30,2,617,761,4,0,0,5,17,5,1833,1212,15,0,0,5,29,5,1754,962,11,0,0,3,41,3,1228,1558,26,0,0,5,26,3,855,1000,4,1,0,6,,,,,177.0,-85.0,233.0,1,3,3,1,9.0,52.0,-85.0,,1,1,2,0,9.0,2859,0,4,1972,3,63
109158,1449870579,1,11,5,1981,1590,23,0,0,7,1,3,1123,1455,21,0,0,8,30,3,843,1016,1,1,0,11,71,4,1603,717,6,0,0,6,7,2,350,500,0,0,0,8,8,3,1144,1397,21,0,0,8,31,3,1213,751,6,0,0,9,100,4,1120,951,11,0,1,10,25,5,2156,1568,22,0,0,7,40,3,1010,500,0,0,0,6,267.0,0.0,2.0,7.0,49.0,-83.0,278.0,2,3,2,1,-49.0,136.0,-83.0,,1,3,2,0,10.0,1553,1,1982,1926,63,63
